epoch,loss,mae,mse
0,2983.405534182147,43.81007,2983.4055
1,2953.2376871949778,44.04054,2953.238
2,2874.1339003709463,43.49755,2874.134
3,2879.769287724339,43.54722,2879.7693
4,2977.6514010105084,43.536583,2977.6519
5,2939.30231742955,44.022266,2939.3022
6,2896.7021244539123,43.631374,2896.7024
7,2880.6931293785424,43.52969,2880.693
8,2927.3238995837924,43.77587,2927.324
9,2967.7900402924274,43.92407,2967.7903
